Title,Description,Url,Started On,Finished On
Human Computer Interaction Course Project: Tempus Fugit,"I took this class my Senior year in College. Human Computer Interaction is one of my favorite research areas and is still central to the work I do today.  Broadly stated, there are four goals for this class: 1) Understand the principles of user-centered design and how to apply them to a software-based project 2) Understand the history of human-computer interaction and how it’s changed over time 3) Explore why “good” interface design is not necessarily “common sense” 4) Utilize skills and knowledge from other disciplines in developing a software-based project  During the semester we primarily focused on one project as described in the syllabus:  You will undertake a group project to: + evaluate some computing-related task/problem  + develop interface design alternatives for the task/problem  + implement a prototype of your design  + evaluate your design  The theme for this semester’s projects is: Connecting to (*) You.  You should think of this domain as exploring how technological innovation can help an individual become the person they want to be. Thus, the * in the domain above can be “a better”, “a wealthier”, a “healthier”, etc. By design, this is a large and rich domain to explore and we will help you investigate ideas for different problems to explore in this solution. The critical aspect of selecting a problem is that it must matter to some “real-life” people. These people can be a small group of individuals, or a large one, or any group in-between, but they will serve as your “clients” whom you must communicate with and learn from.",http://www.behance.net/gallery/Coursework-Human-Computer-Interaction/13666849,Jan 2011,Apr 2011
Workfoo (backend is now FatFractal),"My main task was to help build a web application that set out to facilitate: + Making it trivially easy to find work and get paid. + Building a support network for advancing an individual's skills and career through recommendations and experiences that are merit based. + Creating a professional freelance network that uses open source tools and its people to collaboratively get work done. + Building a perfect team that self-organizes around the technology. + Providing shrink-wrapped terms and conditions that ensure trustful and low-risk transactions.  My contributions to the company depended on the current priorities. These varied among tasks such as development prioritizing, designing the user interface, testing the software, creating marketing communications, branding, building a team, designing a profit model, partnering with the college scene, and more.",http://fatfractal.com/,Jan 2010,Mar 2011
Logo Designs for Workfoo,A set of logos we designed for a startup named Workfoo.  Workfoo Description - The primary goal behind Workfoo is to get work done. Workfoo facilitates the creation and realization of ideas.  Workfoo Slogan - Are you ready for a new economy? A freelance meritocracy is inevitable.  Workfoo Mission - 100% Employment.,https://www.behance.net/gallery/16783423/Logo-Designs-for-Workfoo,Jul 2010,Sep 2010
Charlotte Startup Weekend Six: Team 'FitBloc',"For the Sixth Charlotte Startup Weekend my team came up with the business model and wireframe behind FitBloc. The two original team members were skilled, driven, and full of energy. As the visionary, Ryan Cates pitched the idea. His passion, and the development background behind his partner, sold me immediately.  The first problem we addressed: health information is increasingly difficult for the fitness community to navigate. The second problem: fitness professionals do not have a single tool-set for online marketing and branding. FitBloc is an online platform that brings the right information and resources to the right people when they need it. - https://twitter.com/fitbloc - https://www.facebook.com/fitbloc  More about the event: ""Startup Weekends are weekend-long, hands-on experiences where entrepreneurs and aspiring entrepreneurs can find out if startup ideas are viable. On average, half of Startup Weekend’s attendees have technical or design backgrounds, the other half have business backgrounds.  Beginning with open mic pitches on Friday, attendees bring their best ideas and inspire others to join their team. Over Saturday and Sunday teams focus on customer development, validating their ideas, practicing LEAN Startup Methodologies and building a minimal viable product. On Sunday evening teams demo their prototypes and receive valuable feedback from a panel of experts."" - http://startupweekend.org/",http://bit.ly/1lkVLwd,Jan 2014,Jan 2014
Widespread Panic Album Production: Dirty Side Down,"+ Shadowed Grammy-nominated producer John Keane as he engineered, mixed, mastered, and produced the album. + Prepared studio for recording sessions including microphone placement and guitar rigging. + Setup, configured, and repaired musical instruments and equipment. + Made the band comfortable.",http://en.wikipedia.org/wiki/Dirty_Side_Down,Jan 2010,May 2010
Behavioral Healthcare Service Review Application,"Built a Universal Windows Platform app using XAML, C#, Prism, SQLite, and Azure Mobile Services and an accompanying web app using ASP.NET, Knockout.js, Bootstrap, and Power BI. I led the front-end development of both applications. The purpose of these apps is to provide nurses and behavioral staff an easy way to collect data so they can improve the quality of care patients are receiving. This data is then exposed to leadership to support strategy and operations. The project brought in over two million dollars in revenue.",,Jul 2015,Jan 2018
Demand Forecasting of Healthcare Services,"In order to reduce costs, optimize staffing, and support the budgeting process, we predicted demand for behavioral health crisis services in dozens of facilities across the state of Georgia. I led the data engineering and data storytelling parts of the project. I integrated data into a data warehouse from several previously siloed systems. While performing our analysis for this project, we also helped the organization improve their data governance and data science process.",,Aug 2017,Jan 2018
Solution Assessment Comparing the Azure Bot Service to Amazon Lex for a Fortune 100 Insurance Company,"In order to properly compare the Microsoft bot ecosystem to that of Amazon’s, I designed an identical conversational interface for both. The purpose of the bots was to automate common IT support tasks. Though the flow of the conversation was the same for both bots, the back-end implementation was completely different. I led the conversational interface design for the entire project and the development of the Amazon Lex bot. Along the way, I also delivered learning sessions to their team about the bot development life cycle.",,Jul 2017,Aug 2017
Knowledge Transfer Module,"Designed, architected, and developed a system that creates high-quality training data at enterprise scale. It helps train, test, and tune machine learning algorithms for everything from search relevance and sentiment analysis to conversational agents. By annotating data with this system, business analysts were able to contribute to our knowledge base and improve the quality of predictions made by Decooda’s machine learning classifiers. The application was built with React, Express, and Node.js.",https://www.paulprae.com/natural-language-processing-systems/,Jan 2018,Aug 2018
Microservices for Web Crawling and Scraping,"Using Python and Kafka, I built a series of highly scalable microservices that could extract data from almost any popular news site. This unstructured data was then cleaned so it could be easily consumed by our text analytics platform. This system allowed our clients to follow industry trends and gain insights about both their customers and competitors. For Principal, the data was piped into an engine that predicted earnings surprise and will eventually influence investment decisions.",,Feb 2018,May 2018
Genomics Data Lake,"A genomics client of ours was operating entirely on-premises. Data was being stored locally on SAN disks and analytics were performed via Jupyter Hub hosted on their over-utilized HPCs. We wrote and deployed a software agent on their HPCs as a file gateway, allowing them to essentially mount a file storage system with low latency access to their newly created S3 buckets. Since the amount of data they had to move at the start was not too large, they requested for us to implement a site-to-site VPN for data transfer to save costs. We used AWS Glue to transform the data into a columnar format, Parquet, as it was optimized for the type of queries they planned to execute. To save both time and money, a transformation must occur when the technician attempts to query the data.  To facilitate this, when the query is ran, a CloudWatch event is fired that causes AWS Glue to transform the VCF files into Parquet and save them into another S3 bucket in their Data Lake.  The AWS Glue Data Catalog was then updated to reflect these changes. Overall, we successfully implemented a production-ready start to their data lake and automated several tasks for their data engineers.",https://www.hyperbloom.ai/,Jun 2021,Nov 2021
COINSTAC: Neuroinformatics Data Platform,"An open-source software suite that fosters collaborative research using neuroimaging and genomics data. It removes large barriers to traditional data-centric collaboration approaches. It enables groups of users to run common analyses on their own machines over their own datasets with ease. The results of these analyses are synchronized to the cloud, and undergo aggregate analyses processes using all contributor data. Decentralized pipelines allow for distributed, iterative, and feature rich analyses to be run, opening new and exciting capabilities for collaborative computation. It also offers data anonymity through differential privacy algorithms, so members do not need to fear PHI traceback.",http://coinstac.org,Jan 2022,
NeuroLex: Voice Computing for Healthcare,"We architected and developed multiple software applications, web services, and data pipelines, supporting our mission to make voice computing accessible to everyone. The automated machine learning workflows we built collected data, cleaned data, trained models, and deployed models.",https://www.neurolex.ai,Jan 2018,May 2020
Disaster Recovery Planning and Data Protection Solution Architecture for Clinical Trials,"Architected disaster recovery solutions and governed data for clinical trial software that helped more than 10,000 research sites in 45 countries manage their documents, data, and workflows. The platform also provides remote access so sponsors and contract research organizations (CROs) can collaborate with their sites around the world. The platform's users performed 5.5 million remote monitoring activities each month.",,Jun 2022,Dec 2022
Blockchain-Based Data Platform Architecture for Managing Life Science Data,"Applied blockchain technology to securely and privately exchange data. We designed a system to facilitate and verify a data lifecycle using smart contracts. The lifecycle identified, tracked, and secured data with event logging in place. We designed it to meet global regulatory requirements, data protection laws (CCPA, GDPR, and HIPAA), and privacy frameworks (like FAIR). We made sure it was interoperable by applying standards such as CDISC, SDTM, ADaM, and HL7.",,Jun 2022,Oct 2022
My Open Source and Local-First AI Tech Stack,"I am building an AI agent/app to help people develop a career strategy and apply for jobs. I’m obsessed with open source, self-hosted, local first, multi-agent workflows. The tech stack is centered around libraries like Ollama, LangChain, n8n, and Neo4j. I use Rust and TypeScript as my programming languages. I’m focused on getting people off big tech cloud providers for benefits related to cost, privacy, security, intellectual property, control, and simplicity. The only hosting providers I plan on using are highly principled companies like Hugging Face, Mistral.ai, Together.ai, and Storj.io when local computing or storage doesn’t fit the use case. The app doesn’t need an internet connection, so I focus on local desktop apps for Mac, Windows, and Linux. I specialize in local-first app frameworks like Tauri, so I never have to deploy this app to multi-tier cloud environments, which lets me keep it hella simple and private/secure. ",,Jan 2024,
Career Coach and Digital Marketing AI Assistant,A career coach and digital marketing assistant designed to help job seekers create personalized go-to-market strategies and outreach content for building professional networks and securing job opportunities. The assistant crafts tailored connection requests and introductory messages by analyzing company needs.,,Jan 2024,
Financial AI Assistant for Working-Class Families,"This GitHub repository features an AI-driven personal financial assistant focused on budgeting, debt management, savings, and investment planning. It offers tailored financial advice and analyzes financial documents to provide actionable insights, making it ideal for users who need financial guidance or are interested in economic data analysis.",,Jan 2024,
